completed	failure	Fix typo in `error_overdepending` field	Tests	fix_error_overdepending_typo	pull_request	4684466533	1h13m25s	15h
completed	success	Inline `test_api_build_dll_package.py` recipe fixture	Tests	test_api_build_dll_package	pull_request	3950447271	6h22m11s	Jan 18, 2023
completed	success	Replaced instances of Anaconda Cloud with anaconda.org.	Tests	4706-anaconda-cloud-needs-changed-to-anacondaorg-in-conda-build-docs	pull_request	3950352515	36s	Jan 18, 2023
completed	cancelled	Replaced instances of Anaconda Cloud with anaconda.org.	Tests	4706-anaconda-cloud-needs-changed-to-anacondaorg-in-conda-build-docs	pull_request	3950350053	31s	Jan 18, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3949648818	4h8m42s	Jan 18, 2023
completed	success	Bump actions/cache version (#4713)	Tests	main	push	3947736862	14h9m41s	Jan 18, 2023
completed	failure	Label variants_conda_build_sysroot fixture (#4712)	Tests	main	push	3947734361	8h41m3s	Jan 18, 2023
completed	failure	Inline test_api_build_go_package.py fixture (#4723)	Tests	main	push	3947510045	7h58m28s	Jan 18, 2023
completed	failure	Minimize test_find_executable test and add Windows support (#4727)	Tests	main	push	3947502651	6h27m56s	Jan 18, 2023
completed	failure	Combine `test_render.py` duplicate tests with pytest parametrize (#4726)	Tests	main	push	3947474211	5h33m58s	Jan 18, 2023
completed	failure	Refactor `test_published_examples.py` to use test parameterization	Tests	test_published_examples	pull_request	3947302514	5h15m48s	Jan 18, 2023
completed	failure	Remove unused test_api_inspect.py tests & global variable (#4724)	Tests	main	push	3947247574	3h39m4s	Jan 18, 2023
completed	failure	Inline `test_api_build_dll_package.py` recipe fixture	Tests	test_api_build_dll_package	pull_request	3947179191	2h52m49s	Jan 18, 2023
completed	failure	Refactor test_api_update_index.py to use pathlib (#4721)	Tests	main	push	3947173288	1h51m8s	Jan 18, 2023
completed	failure	Refactor `test_published_examples.py` to use test parameterization	Tests	test_published_examples	pull_request	3944871553	5h46m9s	Jan 18, 2023
completed	success	Inline `test_api_build_go_package.py` fixture	Tests	test_api_build_go_package	pull_request	3944861692	2h19m55s	Jan 18, 2023
completed	failure	Inline `test_api_build_dll_package.py` recipe fixture	Tests	test_api_build_dll_package	pull_request	3944856715	41m14s	Jan 18, 2023
completed	success	Minimize `test_os_utils_external.py::test_find_executable` test and add Windows support	Tests	test_os_utils_external	pull_request	3944830806	47m21s	Jan 18, 2023
completed	success	Combine `test_render.py` duplicate tests with pytest parametrize	Tests	test_render	pull_request	3944478095	3h46m55s	Jan 18, 2023
completed	cancelled	Refactor `test_published_examples.py` to use test parameterization	Tests	test_published_examples	pull_request	3944399066	2h11m59s	Jan 18, 2023
completed	success	Remove unused `test_api_inspect.py` tests & global variable	Tests	test_api_inspect	pull_request	3944387133	1h2m0s	Jan 18, 2023
completed	cancelled	Remove unused `test_api_inspect.py` tests & global variable	Tests	test_api_inspect	pull_request	3944380620	1m5s	Jan 18, 2023
completed	cancelled	Remove unused `test_api_inspect.py` tests & global variable	Tests	test_api_inspect	pull_request	3944285847	35m26s	Jan 17, 2023
completed	cancelled	Inline `test_api_build_go_package.py` fixture	Tests	test_api_build_go_package	pull_request	3944270572	1h53m27s	Jan 17, 2023
completed	cancelled	Inline `test_api_build_dll_package.py` recipe fixture	Tests	test_api_build_dll_package	pull_request	3944240369	2h43m12s	Jan 17, 2023
completed	success	Refactor `test_api_update_index.py` to use `pathlib.Path`	Tests	test_api_update_index	pull_request	3944178636	38m6s	Jan 18, 2023
completed	failure	Prune/update `test_variant.py` file	Tests	prune_test_variants	pull_request	3942815650	1h56m22s	Jan 17, 2023
completed	success	Replaced instances of Anaconda Cloud with anaconda.org.	Tests	4706-anaconda-cloud-needs-changed-to-anacondaorg-in-conda-build-docs	pull_request	3942763254	24s	Jan 17, 2023
completed	success	Replaced instances of Anaconda Cloud with anaconda.org.	Tests	4706-anaconda-cloud-needs-changed-to-anacondaorg-in-conda-build-docs	pull_request	3942749515	27s	Jan 17, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4716)	Tests	main	push	3941799695	2m15s	Jan 17, 2023
completed	failure	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3941316967	3h12m11s	Jan 17, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3932373734	1m28s	Jan 16, 2023
completed	success	Inline fixtures in `tests/test_variants.py`	Tests	speedup-test_get_package_variants_phase2	pull_request	3907127926	1h29m38s	Jan 13, 2023
completed	success	Bump actions/cache version	Tests	bump-cache-version	pull_request	3906995074	3h12m24s	Jan 12, 2023
completed	success	Label `variants_conda_build_sysroot` fixture	Tests	label-variants_conda_build_sysroot	pull_request	3906984444	42m27s	Jan 13, 2023
completed	failure	Speedup `test_variants.py::test_get_package_variants*` (#4696)	Tests	main	push	3906241715	3h25m58s	Jan 12, 2023
completed	failure	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3906031341	3h54m7s	Jan 12, 2023
completed	failure	Switch from test-type to test-group	Tests	switch-test-type-to-groups	pull_request	3904632168	4h39m48s	Jan 12, 2023
completed	cancelled	Switch from test-type to test-group	Tests	switch-test-type-to-groups	pull_request	3904532036	15m10s	Jan 12, 2023
completed	cancelled	Switch from test-type to test-group	Tests	switch-test-type-to-groups	pull_request	3904496144	6m21s	Jan 12, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3904366649	19m4s	Jan 12, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3904365097	12s	Jan 12, 2023
completed	success	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3904120486	37m35s	Jan 12, 2023
completed	failure	Mark flaky test as serial & flaky to avoid macOS SDK race condition (…	Tests	main	push	3904115408	1h51m13s	Jan 12, 2023
completed	success	Make further changes to conda-build docs (#4704)	Tests	main	push	3903167089	28s	Jan 12, 2023
completed	failure	Add `conda_build_test_recipe` as a submodule	Tests	action-version-and-submodule	pull_request	3899375443	1h50m54s	Jan 12, 2023
completed	startup_failure	Add `conda_build_test_recipe` as a submodule	Tests	action-version-and-submodule	pull_request	3899356670	0s	Jan 12, 2023
completed	failure	Adjust testing matrix (#4691)	Tests	main	push	3899224288	2h0m57s	Jan 12, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3897656527	29s	Jan 11, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3897512833	29s	Jan 11, 2023
completed	success	Mark flaky test as serial & flaky to avoid macOS SDK race condition	Tests	serial-overlinking-detection	pull_request	3896539350	1h52m5s	Jan 12, 2023
completed	failure	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3895958010	3h56m33s	Jan 11, 2023
completed	cancelled	Mark flaky test as serial & flaky to avoid macOS SDK race condition	Tests	serial-overlinking-detection	pull_request	3895486083	2h32m16s	Jan 11, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3895397900	1h24m21s	Jan 11, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3894069030	31m57s	Jan 12, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3889094398	28s	Jan 11, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3887573520	24s	Jan 10, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3887569498	28s	Jan 10, 2023
completed	success	Make further changes to conda-build docs	Tests	docs_edits	pull_request	3886746479	34s	Jan 10, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4699)	Tests	main	push	3881855333	29s	Jan 10, 2023
completed	success	Add misc. fixes to conda-build documentation (#4702)	Tests	main	push	3881852883	29s	Jan 10, 2023
completed	success	Add misc. fixes to conda-build documentation	Tests	conda_build_docs_overhaul	pull_request	3878055014	2m29s	Jan  9, 2023
completed	success	Add misc. fixes to conda-build documentation	Tests	conda_build_docs_overhaul	pull_request	3877982022	27s	Jan  9, 2023
completed	failure	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3877833892	1h50m52s	Jan 10, 2023
completed	cancelled	Pruning Test cases for `test_api_debug.py`	Tests	test_api_debug_4647	pull_request	3877771564	7m51s	Jan  9, 2023
completed	failure	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3877704137	1h32m46s	Jan 10, 2023
completed	cancelled	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3877699253	37s	Jan  9, 2023
completed	cancelled	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3877518240	30m35s	Jan  9, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3875823507	30s	Jan  9, 2023
completed	success	Adjust testing matrix	Tests	limit-CI-runs	pull_request	3864273288	3h25m59s	Jan 11, 2023
completed	cancelled	Adjust testing matrix	Tests	limit-CI-runs	pull_request	3864264854	4m29s	Jan  7, 2023
completed	cancelled	Adjust testing matrix	Tests	limit-CI-runs	pull_request	3864245622	8m1s	Jan  7, 2023
completed	failure	Cleanup replay/allure variables, use setup-miniconda w/ caching (#4648)	Tests	main	push	3864241894	2h0m36s	Jan  7, 2023
completed	success	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3862424334	1h22m35s	Jan  7, 2023
completed	failure	Simplify `test_subpackages.py::test_intradependencies` (#4695)	Tests	main	push	3858372297	4h39m15s	Jan  6, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3858213344	1h7m0s	Jan  7, 2023
completed	success	Update conda-build.rst with missing args	Tests	patch-1	pull_request	3857553592	1h4m21s	Jan 26, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3856892570	3h40m39s	Jan  6, 2023
completed	success	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3856768694	1h18m44s	Jan  7, 2023
completed	success	Speedup `test_subpackages.py::test_intradependencies`	Tests	speedup-test_intradependencies	pull_request	3856768108	1h0m46s	Jan  6, 2023
completed	success	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3856701047	1h50m38s	Jan  7, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3856342718	1h25m6s	Jan  6, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3856216340	18m23s	Jan  6, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3855898607	47m51s	Jan  6, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3855864053	7m13s	Jan  6, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3855837831	4m35s	Jan  6, 2023
completed	success	Bump pillow from 9.0.1 to 9.3.0 in /docs (#4643)	Tests	main	push	3855318728	26s	Jan  6, 2023
completed	success	Bump pillow from 9.0.1 to 9.3.0 in /docs	Tests	dependabot/pip/docs/pillow-9.3.0	pull_request	3855316437	24s	Jan  6, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4668)	Tests	main	push	3855312871	24s	Jan  6, 2023
completed	failure	Recompress .tar.bz2 test archives; skip enough tests to pass before g…	Tests	main	push	3855244460	2h18m41s	Jan  6, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3854333859	25s	Jan  6, 2023
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3852651914	2h22m59s	Jan  6, 2023
completed	cancelled	Speedup `test_variants.py::test_get_package_variants*`	Tests	speedup-test_get_package_variants	pull_request	3852449272	49m2s	Jan  6, 2023
completed	success	Recompress .tar.bz2 test archives; skip enough tests to pass before getting cancelled.	Tests	windows-no-cov	pull_request	3852367819	2h3m31s	Jan  6, 2023
completed	cancelled	Speedup `test_subpackages.py::test_intradependencies`	Tests	speedup-test_intradependencies	pull_request	3852230134	1h35m53s	Jan  6, 2023
completed	failure	Recompress .tar.bz2 test archives; skip enough tests to pass before getting cancelled.	Tests	windows-no-cov	pull_request	3851770810	1h50m59s	Jan  6, 2023
completed	success	Recompress test .tar.bz2 archives	Tests	fix-test-data	pull_request	3851180271	1h54m26s	Jan  6, 2023
completed	cancelled	Recompress test .tar.bz2 archives	Tests	fix-test-data	pull_request	3851108877	15m9s	Jan  5, 2023
completed	failure	Recompress test .tar.bz2 archives	Tests	fix-test-data	pull_request	3849452954	2h1m27s	Jan  5, 2023
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3849123344	3h3m45s	Jan  5, 2023
completed	cancelled	Recompress test .tar.bz2 archives	Tests	fix-test-data	pull_request	3848908930	1h29m8s	Jan  5, 2023
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3848811013	46m27s	Jan  5, 2023
completed	cancelled	Adding the SPIKE ticket as the change	Tests	prune-api-convert-4647	pull_request	3848581728	11m30s	Jan  5, 2023
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3847882640	2h2m10s	Jan  5, 2023
completed	failure	Adjust testing matrix	Tests	limit-CI-runs	pull_request	3842350142	3h32m50s	Jan  4, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3842275406	3h5m7s	Jan  4, 2023
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3842258019	2h2m57s	Jan  4, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3841976439	23m14s	Jan  4, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3841879205	17m1s	Jan  4, 2023
completed	cancelled	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	3841793242	15m37s	Jan  4, 2023
completed	failure	Combine license tests into parameterized test (#4683)	Tests	main	push	3841506228	2h1m33s	Jan  4, 2023
completed	failure	Adding the SPIKE ticket as the change	Tests	prune-api-convert-4647	pull_request	3840855831	1h58m4s	Jan  4, 2023
completed	cancelled	Adding the SPIKE ticket as the change	Tests	prune-api-convert-4647	pull_request	3840023060	2h0m53s	Jan  4, 2023
completed	cancelled	Adding the SPIKE ticket as the change	Tests	prune-api-convert-4647	pull_request	3839115481	2h3m28s	Jan  4, 2023
completed	failure	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3831403874	1h51m1s	Jan  5, 2023
completed	success	`test_license_family.py`: combine tests into parameterized test	Tests	test_license_family	pull_request	3831399284	2h0m4s	Jan  4, 2023
completed	failure	Remove custom temporary directories (#4681)	Tests	main	push	3831291232	2h1m35s	Jan  3, 2023
completed	failure	include virtual packages in hash contents	Tests	virtual_hash	pull_request	3828748636	2h40m8s	Jan  3, 2023
completed	failure	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	3828741838	2h15m24s	Jan  3, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3823964071	25s	Jan  2, 2023
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3802104385	1h0m37s	Dec 30, 2022
completed	cancelled	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3801888620	42m1s	Dec 29, 2022
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3782411764	26s	Dec 26, 2022
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3760009411	2h5m19s	Dec 22, 2022
completed	failure	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46…	Tests	main	push	3759863608	1h50m49s	Dec 22, 2022
completed	cancelled	`test_license_family.py`: combine tests into parameterized test	Tests	test_license_family	pull_request	3754962836	1h50m56s	Jan  3, 2023
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3754014678	2h1m55s	Dec 22, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3753932486	18m4s	Dec 22, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3746656597	2h7m30s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3746540791	23m31s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3746524525	9m2s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3746412571	27m13s	Dec 21, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745768376	2h11m24s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745466295	1h10m0s	Dec 21, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745323962	17m10s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745273833	10m26s	Dec 21, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745158560	12m24s	Dec 21, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745097318	14m21s	Dec 20, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3745062483	8m16s	Dec 20, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3744324217	2h3m57s	Dec 20, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3744256643	12m57s	Dec 20, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3744189550	11m49s	Dec 20, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3744102251	15m58s	Dec 20, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3744081022	5m37s	Dec 20, 2022
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3744053378	1h50m47s	Dec 20, 2022
completed	cancelled	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3743741645	49m31s	Dec 20, 2022
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3742691887	1h1m51s	Dec 20, 2022
completed	cancelled	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3742073253	1h22m46s	Dec 20, 2022
completed	failure	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3738042429	2h58m31s	Dec 20, 2022
completed	failure	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3738029828	1h36m30s	Dec 22, 2022
completed	failure	Update action versions to avoid Node.js 12 deprecation notices (#4678)	Tests	main	push	3738011589	1h34m54s	Dec 20, 2022
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3735295551	1h51m9s	Dec 20, 2022
completed	success	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3734663930	16m54s	Dec 19, 2022
completed	failure	Remove custom temporary directories	Tests	win-tmpdir	pull_request	3733779277	1h57m38s	Dec 19, 2022
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	3733372219	29s	Dec 19, 2022
completed	success	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3727885677	1h9m7s	Dec 21, 2022
completed	success	Update conda-build.rst with missing args	Tests	patch-1	pull_request	3720651450	25s	Jan  6, 2023
completed	failure	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3716783047	1h52m36s	Dec 16, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3716690309	2h27m12s	Dec 16, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3716681666	2m18s	Dec 16, 2022
completed	success	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3716589374	13m19s	Dec 16, 2022
completed	cancelled	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3716460346	9m22s	Dec 20, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3716410893	16m29s	Dec 16, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3716317668	20m2s	Dec 16, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3715087769	2h3m26s	Dec 16, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3714318113	1h51m56s	Dec 16, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3714180152	18m14s	Dec 16, 2022
completed	cancelled	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3711736722	14m51s	Dec 16, 2022
completed	success	Update action versions to avoid Node.js 12 deprecation notices	Tests	remove-node12-warnings	pull_request	3711735797	1h50m49s	Dec 20, 2022
completed	failure	Move tar-ing into separate step to avoid shadowing test results (#4679)	Tests	main	push	3711726058	1h58m11s	Dec 16, 2022
completed	failure	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3710338347	3h42m30s	Dec 16, 2022
completed	failure	Move tar-ing into separate step to avoid shadowing test results	Tests	shadow-tests	pull_request	3710300224	3h15m1s	Dec 16, 2022
completed	failure	Update action versions to avoid Node.js 12 deprecation notices	Tests	remove-node12-warnings	pull_request	3709927291	3h7m34s	Dec 16, 2022
completed	cancelled	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3709733101	2h18m20s	Dec 16, 2022
completed	cancelled	Remove logic branching for `conda_43`/`conda_44`/`conda_45`/`conda_46`/`conda_47`	Tests	deprecate-conda_NN	pull_request	3709700299	7m2s	Dec 16, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3709487457	2h9m29s	Dec 16, 2022
completed	success	Update disclaimer/LICENSE to reflect conda-build originally being part of conda	Tests	copyrights	pull_request	3708819897	2h28m43s	Dec 15, 2022
completed	success	Remove false-positives in the list of Perl core modules	Tests	fix_perl_core_list	pull_request	3707761996	3h13m14s	Dec 15, 2022
completed	success	Add C compiler dep when `.xs` files are found.	Tests	fix_cpan_xs_detection	pull_request	3707491225	1h37m36s	Dec 16, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3707422380	2h19m1s	Dec 15, 2022
completed	cancelled	Add C compiler dep when `.xs` files are found.	Tests	fix_cpan_xs_detection	pull_request	3707397517	17m22s	Dec 15, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3707165832	39m29s	Dec 15, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3706328670	1h58m15s	Dec 15, 2022
completed	success	Use GH Action instead of `on` path filtering (#4675)	Tests	main	push	3706135463	3h6m48s	Dec 15, 2022
completed	cancelled	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3704985790	3m43s	Dec 16, 2022
completed	success	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3704953493	2h26m21s	Dec 15, 2022
completed	cancelled	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3704952366	1m22s	Dec 15, 2022
completed	cancelled	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3704811214	21m25s	Dec 15, 2022
completed	success	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3701228193	1h38m20s	Dec 15, 2022
completed	failure	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3700729792	1h42m34s	Dec 15, 2022
completed	cancelled	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3700634853	18m37s	Dec 15, 2022
completed	cancelled	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3700630358	1m47s	Dec 15, 2022
completed	startup_failure	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3699404226	1s	Dec 14, 2022
completed	failure	Use GH Action instead of `on` path filtering	Tests	one-tests.yml	pull_request	3699323196	2h58m14s	Dec 14, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3699122652	1h53m39s	Dec 14, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3699049335	11m17s	Dec 14, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3698839367	1s	Dec 14, 2022
completed	cancelled	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3698820593	2s	Dec 14, 2022
completed	success	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3698248745	2h19m56s	Dec 14, 2022
completed	cancelled	Upload collected test data as artifacts	Tests	allure-pytest	pull_request	3698239363	2m10s	Dec 14, 2022
completed	failure	Add Allure reporting, update Python version test matrix, and prune te…	Tests	main	push	3697825538	1h50m39s	Dec 14, 2022
completed	success	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3696216818	1h34m39s	Dec 14, 2022
completed	success	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3692955885	1h53m17s	Dec 14, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3692935538	3m48s	Dec 14, 2022
completed	failure	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3692023968	1h50m40s	Dec 14, 2022
completed	failure	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3691453264	1h38m41s	Dec 14, 2022
completed	failure	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3690022311	1h36m48s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3689969748	10m46s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3689939278	5m58s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3689918573	4m9s	Dec 13, 2022
completed	failure	Cleanup replay variables & use setup-miniconda	Tests	cleanup-replay	pull_request	3688987856	1h50m35s	Dec 14, 2022
completed	failure	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3688853028	2h0m20s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3688719082	22m27s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3688700258	3m21s	Dec 13, 2022
completed	cancelled	Add Allure reporting, update Python version test matrix, and prune test_api_build.py	Tests	conda-build-4558	pull_request	3688688004	2m42s	Dec 13, 2022
